"","date","bat_ID","birthdate","capture.site","sex"
"1",2011-08-16,"bella","11/1/04","zoo","female"
"2",2011-08-17,"bella","11/1/04","zoo","female"
"3",2011-09-23,"bella","11/1/04","zoo","female"
"4",2011-09-27,"bella","11/1/04","zoo","female"
"5",2011-08-23,"bella","11/1/04","zoo","female"
"6",2011-10-18,"bella","11/1/04","zoo","female"
"7",2011-08-24,"bella","11/1/04","zoo","female"
"8",2011-10-21,"bella","11/1/04","zoo","female"
"9",2011-11-01,"lucy","7/15/06","zoo","female"
"10",2011-08-25,"lucy","7/15/06","zoo","female"
"11",2011-08-26,"lucy","7/15/06","zoo","female"
"12",2011-08-17,"lucy","7/15/06","zoo","female"
"13",2011-08-18,"lucy","7/15/06","zoo","female"
"14",2011-09-30,"lucy","7/15/06","zoo","female"
"15",2011-10-04,"lucy","7/15/06","zoo","female"
"16",2011-08-15,"mya","1/1/96","zoo","female"
"17",2011-08-16,"mya","1/1/96","zoo","female"
"18",2011-09-22,"mya","1/1/96","zoo","female"
"19",2011-08-26,"mya","1/1/96","zoo","female"
"20",2011-08-27,"mya","1/1/96","zoo","female"
"21",2011-08-15,"vampirella","5/1/08","zoo","female"
"22",2011-09-16,"vampirella","5/1/08","zoo","female"
"23",2011-09-20,"vampirella","5/1/08","zoo","female"
"24",2011-08-24,"vampirella","5/1/08","zoo","female"
"25",2011-08-25,"vampirella","5/1/08","zoo","female"
"26",2011-10-28,"vampirella","5/1/08","zoo","female"
"27",2011-08-18,"veronica","7/15/06","zoo","female"
"28",2011-10-07,"veronica","7/15/06","zoo","female"
"29",2011-08-19,"veronica","7/15/06","zoo","female"
"30",2011-08-22,"veronica","7/15/06","zoo","female"
"31",2011-11-16,"veronica","7/15/06","zoo","female"
"32",2011-08-23,"veronica","7/15/06","zoo","female"
"33",2013-02-17,"cerceson","5/24/12","zoo","male"
"34",2013-02-18,"cerceson","5/24/12","zoo","male"
"35",2013-02-08,"bella","11/1/04","zoo","female"
"36",2013-02-09,"bella","11/1/04","zoo","female"
"37",2013-02-15,"bella","11/1/04","zoo","female"
"38",2013-02-16,"bella","11/1/04","zoo","female"
"39",2013-02-22,"bella","11/1/04","zoo","female"
"40",2013-02-23,"bella","11/1/04","zoo","female"
"41",2013-02-04,"cerce","2/14/01","zoo","female"
"42",2013-02-05,"cerce","2/14/01","zoo","female"
"43",2013-02-25,"cerce","2/14/01","zoo","female"
"44",2013-02-12,"lily","9/23/11","zoo","female"
"45",2013-02-13,"lily","9/23/11","zoo","female"
"46",2013-02-25,"lily","9/23/11","zoo","female"
"47",2013-02-26,"lily","9/23/11","zoo","female"
"48",2013-02-13,"flapper","5/9/11","zoo","male"
"49",2013-02-14,"flapper","5/9/11","zoo","male"
"50",2013-02-10,"lucy","7/15/06","zoo","female"
"51",2013-02-11,"lucy","7/15/06","zoo","female"
"52",2013-02-26,"lucy","7/15/06","zoo","female"
"53",2013-02-27,"lucy","7/15/06","zoo","female"
"54",2013-02-06,"mya","1/1/96","zoo","female"
"55",2013-02-16,"mya","1/1/96","zoo","female"
"56",2013-02-17,"mya","1/1/96","zoo","female"
"57",2013-02-28,"sheldon","12/11/12","zoo","male"
"58",2013-02-20,"speedster","5/10/11","zoo","male"
"59",2013-02-21,"speedster","5/10/11","zoo","male"
"60",2013-02-06,"thecount","5/1/08","zoo","male"
"61",2013-02-07,"thecount","5/1/08","zoo","male"
"62",2013-02-18,"thecount","5/1/08","zoo","male"
"63",2013-02-19,"thecount","5/1/08","zoo","male"
"64",2013-02-07,"vampirella","5/1/08","zoo","female"
"65",2013-02-08,"vampirella","5/1/08","zoo","female"
"66",2013-02-23,"vampirella","5/1/08","zoo","female"
"67",2013-02-24,"vampirella","5/1/08","zoo","female"
"68",2013-02-14,"veronica","7/15/06","zoo","female"
"69",2013-02-15,"veronica","7/15/06","zoo","female"
"70",2013-03-01,"veronica","7/15/06","zoo","female"
"71",2013-02-27,"vampison","11/21/12","zoo","male"
"72",2013-02-28,"vampison","11/21/12","zoo","male"
"73",2013-02-21,"whimsey","11/27/11","zoo","male"
"74",2013-02-22,"whimsey","11/27/11","zoo","male"
"75",2013-02-12,"zaria","5/30/12","zoo","female"
"76",2013-02-19,"zaria","5/30/12","zoo","female"
"77",2013-02-20,"zaria","5/30/12","zoo","female"
"78",2014-04-10,"cerceson","5/24/12","zoo","male"
"79",2014-04-03,"bat2","6/7/00","zoo","female"
"80",2014-04-04,"bat2","6/7/00","zoo","female"
"81",2014-04-20,"bat2","6/7/00","zoo","female"
"82",2014-04-21,"bat2","6/7/00","zoo","female"
"83",2014-04-02,"bat3","5/27/02","zoo","female"
"84",2014-04-03,"bat3","5/27/02","zoo","female"
"85",2014-04-17,"bat3","5/27/02","zoo","female"
"86",2014-04-18,"bat3","5/27/02","zoo","female"
"87",2014-04-01,"bat4","4/1/07","zoo","female"
"88",2014-04-02,"bat4","4/1/07","zoo","female"
"89",2014-04-16,"bat4","4/1/07","zoo","female"
"90",2014-04-17,"bat4","4/1/07","zoo","female"
"91",2014-04-23,"bat4","4/1/07","zoo","female"
"92",2014-03-23,"bella","11/1/04","zoo","female"
"93",2014-03-24,"bella","11/1/04","zoo","female"
"94",2014-04-04,"bella","11/1/04","zoo","female"
"95",2014-04-05,"bella","11/1/04","zoo","female"
"96",2014-03-22,"cerce","2/14/01","zoo","female"
"97",2014-03-23,"cerce","2/14/01","zoo","female"
"98",2014-04-24,"cerce","2/14/01","zoo","female"
"99",2014-04-25,"cerce","2/14/01","zoo","female"
"100",2014-03-19,"countess","7/24/97","zoo","female"
"101",2014-03-20,"countess","7/24/97","zoo","female"
"102",2014-03-20,"lily","9/23/11","zoo","female"
"103",2014-03-21,"lily","9/23/11","zoo","female"
"104",2014-04-26,"lily","9/23/11","zoo","female"
"105",2014-04-27,"flapper","5/9/11","zoo","male"
"106",2014-05-03,"flapper","5/9/11","zoo","male"
"107",2014-05-04,"flapper","5/9/11","zoo","male"
"108",2014-03-13,"gremlin",NA,"zoo","male"
"109",2014-03-14,"gremlin",NA,"zoo","male"
"110",2014-03-12,"marce","4/13/13","zoo","female"
"111",2014-03-13,"marce","4/13/13","zoo","female"
"112",2014-03-17,"marce","4/13/13","zoo","female"
"113",2014-03-18,"marce","4/13/13","zoo","female"
"114",2014-04-06,"marce","4/13/13","zoo","female"
"115",2014-04-07,"marce","4/13/13","zoo","female"
"116",2014-03-14,"mina","1/30/05","zoo","female"
"117",2014-03-15,"mina","1/30/05","zoo","female"
"118",2014-05-03,"mina","1/30/05","zoo","female"
"119",2014-03-11,"mya","1/1/96","zoo","female"
"120",2014-03-12,"mya","1/1/96","zoo","female"
"121",2014-04-10,"sheldon","12/11/12","zoo","male"
"122",2014-03-21,"snow","5/31/13","zoo","female"
"123",2014-03-22,"snow","5/31/13","zoo","female"
"124",2014-04-05,"snow","5/31/13","zoo","female"
"125",2014-04-06,"snow","5/31/13","zoo","female"
"126",2014-04-19,"thecount","5/1/08","zoo","male"
"127",2014-04-23,"thecount","5/1/08","zoo","male"
"128",2014-04-24,"thecount","5/1/08","zoo","male"
"129",2014-03-18,"vampirella","5/1/08","zoo","female"
"130",2014-03-19,"vampirella","5/1/08","zoo","female"
"131",2014-03-17,"veronica","7/15/06","zoo","female"
"132",2014-03-15,"zaria","5/30/12","zoo","female"
"133",2014-03-16,"zaria","5/30/12","zoo","female"
"134",2014-04-07,"zaria","5/30/12","zoo","female"
"135",2014-04-08,"zaria","5/30/12","zoo","female"
"136",2014-04-29,"zaria","5/30/12","zoo","female"
"137",2014-04-30,"zaria","5/30/12","zoo","female"
"138",2014-04-10,"zarison","9/26/13","zoo","male"
"139",2014-11-20,"desi","1/21/03","zoo","male"
"140",2014-11-21,"fuschia","7/15/06","zoo","male"
"141",2014-11-23,"helsing","1/1/98","zoo","male"
"142",2014-11-18,"houdini",NA,"zoo","male"
"143",2014-11-19,"lucyson","6/28/13","zoo","male"
"144",2014-11-23,"lilyson","1/31/14","zoo","male"
"145",2014-11-22,"maribelo","6/1/09","zoo","male"
"146",2014-11-20,"pixus","6/28/12","zoo","male"
"147",2014-11-21,"sonofzaria","9/2/14","zoo","male"
"148",2014-11-19,"streblick","6/8/08","zoo","male"
"149",2014-11-20,"streblick","6/8/08","zoo","male"
"150",2014-11-21,"thecount","5/1/08","zoo","male"
"151",2014-11-21,"vlad","6/1/09","zoo","male"
"152",2014-11-22,"vlad","6/1/09","zoo","male"
"153",2014-11-18,"zarison","9/26/13","zoo","male"
"154",2014-11-19,"zarison","9/26/13","zoo","male"
"155",2015-01-05,"bat3","5/27/02","zoo","female"
"156",2015-01-06,"bat3","5/27/02","zoo","female"
"157",2015-01-09,"gelfing","1/24/01","zoo","male"
"158",2015-01-10,"gelfing","1/24/01","zoo","male"
"159",2015-01-12,"gremlin",NA,"zoo","male"
"160",2015-01-13,"gremlin",NA,"zoo","male"
"161",2015-01-13,"houdini",NA,"zoo","male"
"162",2015-01-14,"houdini",NA,"zoo","male"
"163",2015-01-17,"lucyson","6/28/13","zoo","male"
"164",2015-01-18,"lucyson","6/28/13","zoo","male"
"165",2015-01-17,"lilyson","1/31/14","zoo","male"
"166",2015-01-06,"marce","4/13/13","zoo","female"
"167",2015-01-07,"marce","4/13/13","zoo","female"
"168",2015-01-18,"maribelo","6/1/09","zoo","male"
"169",2015-01-19,"maribelo","6/1/09","zoo","male"
"170",2015-01-03,"mina","1/30/05","zoo","female"
"171",2015-01-04,"mina","1/30/05","zoo","female"
"172",2015-01-12,"sheldon","12/11/12","zoo","male"
"173",2015-01-05,"snow","5/31/13","zoo","female"
"174",2015-01-15,"sonofzaria","9/2/14","zoo","male"
"175",2015-01-07,"streblick","6/8/08","zoo","male"
"176",2015-01-08,"streblick","6/8/08","zoo","male"
"177",2015-01-08,"thecount","5/1/08","zoo","male"
"178",2015-01-09,"thecount","5/1/08","zoo","male"
"179",2015-01-19,"vlad","6/1/09","zoo","male"
"180",2015-01-10,"whimsey","11/27/11","zoo","male"
"181",2015-01-16,"zarison","9/26/13","zoo","male"
"182",2013-04-03,"bat1",NA,"zoo","female"
"183",2013-04-04,"bat1",NA,"zoo","female"
"184",2013-04-12,"bat1",NA,"zoo","female"
"185",2013-04-13,"bat1",NA,"zoo","female"
"186",2013-04-15,"bat2","6/7/00","zoo","female"
"187",2013-04-16,"bat2","6/7/00","zoo","female"
"188",2013-05-04,"bat2","6/7/00","zoo","female"
"189",2013-05-05,"bat2","6/7/00","zoo","female"
"190",2013-04-07,"bat3","5/27/02","zoo","female"
"191",2013-04-08,"bat3","5/27/02","zoo","female"
"192",2013-04-14,"bat3","5/27/02","zoo","female"
"193",2013-04-15,"bat3","5/27/02","zoo","female"
"194",2013-04-08,"bat4","4/1/07","zoo","female"
"195",2013-04-09,"bat4","4/1/07","zoo","female"
"196",2013-04-13,"bat4","4/1/07","zoo","female"
"197",2013-04-14,"bat4","4/1/07","zoo","female"
"198",2013-04-09,"bat5",NA,"zoo","male"
"199",2013-04-10,"bat5",NA,"zoo","male"
"200",2013-04-22,"bat5",NA,"zoo","male"
"201",2013-04-23,"bat5",NA,"zoo","male"
"202",2013-04-10,"bat6",NA,"zoo","female"
"203",2013-04-11,"bat6",NA,"zoo","female"
"204",2013-04-21,"bat6",NA,"zoo","female"
"205",2013-04-22,"bat6",NA,"zoo","female"
"206",2013-05-05,"bat6",NA,"zoo","female"
"207",2013-05-06,"bat6",NA,"zoo","female"
"208",2013-04-11,"bat7",NA,"zoo","female"
"209",2013-04-12,"bat7",NA,"zoo","female"
"210",2013-04-19,"bat7",NA,"zoo","female"
"211",2013-04-20,"bat7",NA,"zoo","female"
"212",2016-09-15,"una",NA,"las.pavas","female"
"213",2016-09-14,"eve",NA,"las.pavas","female"
"214",2016-09-15,"eve",NA,"las.pavas","female"
"215",2016-09-13,"dos",NA,"las.pavas","female"
"216",2016-09-13,"ola",NA,"las.pavas","female"
"217",2016-09-14,"ola",NA,"las.pavas","female"
"218",2016-09-13,"ivy",NA,"las.pavas","female"
"219",2016-09-16,"cat",NA,"las.pavas","female"
"220",2016-09-14,"six",NA,"las.pavas","female"
"221",2016-11-15,"ccc",NA,"tole","female"
"222",2016-11-16,"ccc",NA,"tole","female"
"223",2016-11-11,"ddld","7/20/16","captive","female"
"224",2016-11-12,"ddld","7/20/16","captive","female"
"225",2016-11-14,"ivy",NA,"las.pavas","female"
"226",2016-11-15,"ivy",NA,"las.pavas","female"
"227",2016-11-13,"son-of-ola","6/28/16","captive","male"
"228",2016-11-14,"son-of-ola","6/28/16","captive","male"
"229",2016-11-08,"una",NA,"las.pavas","female"
"230",2016-11-09,"una",NA,"las.pavas","female"
"231",2016-11-05,"tes",NA,"las.pavas","female"
"232",2016-11-18,"tes",NA,"las.pavas","female"
"233",2016-11-19,"tes",NA,"las.pavas","female"
"234",2016-11-10,"lds","4/15/16","captive","female"
"235",2016-11-11,"lds","4/15/16","captive","female"
"236",2018-10-20,"lds","4/15/16","captive","female"
"237",2016-11-12,"six",NA,"las.pavas","female"
"238",2016-11-13,"six",NA,"las.pavas","female"
"239",2016-11-05,"lsd","4/15/16","captive","female"
"240",2016-11-06,"lsd","4/15/16","captive","female"
"241",2016-11-17,"cat",NA,"las.pavas","female"
"242",2016-11-18,"cat",NA,"las.pavas","female"
"243",2016-11-09,"r",NA,"tole","female"
"244",2016-11-10,"r",NA,"tole","female"
"245",2016-11-16,"rc",NA,"tole","female"
"246",2016-11-17,"rc",NA,"tole","female"
"247",2016-11-07,"scs",NA,"tole","female"
"248",2016-11-08,"scs",NA,"tole","female"
"249",2016-03-24,"ccc",NA,"tole","female"
"250",2016-03-25,"ccc",NA,"tole","female"
"251",2016-04-16,"ccc",NA,"tole","female"
"252",2016-04-17,"ccc",NA,"tole","female"
"253",2016-05-25,"ccc",NA,"tole","female"
"254",2016-05-26,"ccc",NA,"tole","female"
"255",2016-03-31,"cc",NA,"tole","female"
"256",2016-04-01,"cc",NA,"tole","female"
"257",2016-04-19,"cc",NA,"tole","female"
"258",2016-04-20,"cc",NA,"tole","female"
"259",2016-03-26,"ccs",NA,"tole","female"
"260",2016-03-27,"ccs",NA,"tole","female"
"261",2016-04-17,"ccs",NA,"tole","female"
"262",2016-04-18,"ccs",NA,"tole","female"
"263",2016-05-13,"ccs",NA,"tole","female"
"264",2016-05-14,"ccs",NA,"tole","female"
"265",2016-03-13,"cd",NA,"tole","female"
"266",2016-03-14,"cd",NA,"tole","female"
"267",2016-04-04,"cd",NA,"tole","female"
"268",2016-04-22,"cd",NA,"tole","female"
"269",2016-03-19,"c",NA,"tole","female"
"270",2016-03-20,"c",NA,"tole","female"
"271",2016-04-15,"c",NA,"tole","female"
"272",2016-05-17,"c",NA,"tole","female"
"273",2016-05-18,"c",NA,"tole","female"
"274",2016-03-12,"dr-strange",NA,"tole","male"
"275",2016-03-13,"dr-strange",NA,"tole","male"
"276",2016-04-13,"scs",NA,"tole","female"
"277",2016-04-14,"scs",NA,"tole","female"
"278",2016-05-21,"scs",NA,"tole","female"
"279",2016-05-22,"scs",NA,"tole","female"
"280",2016-03-07,"csc",NA,"tole","female"
"281",2016-05-15,"dcd",NA,"tole","female"
"282",2016-06-13,"dcd",NA,"tole","female"
"283",2016-03-11,"dd",NA,"tole","female"
"284",2016-03-12,"dd",NA,"tole","female"
"285",2016-03-20,"dd",NA,"tole","female"
"286",2016-03-21,"dd",NA,"tole","female"
"287",2016-04-11,"dd",NA,"tole","female"
"288",2016-05-11,"dd",NA,"tole","female"
"289",2016-05-12,"dd",NA,"tole","female"
"290",2016-03-17,"d",NA,"tole","female"
"291",2016-03-18,"d",NA,"tole","female"
"292",2016-04-08,"d",NA,"tole","female"
"293",2016-05-20,"d",NA,"tole","female"
"294",2016-05-21,"d",NA,"tole","female"
"295",2016-03-23,"ds",NA,"tole","female"
"296",2016-04-13,"ds",NA,"tole","female"
"297",2016-05-24,"ds",NA,"tole","female"
"298",2016-05-25,"ds",NA,"tole","female"
"299",2016-06-15,"hilga","2/5/16","captive","female"
"300",2016-06-16,"hilga","2/5/16","captive","female"
"301",2016-07-05,"ldc","3/6/16","captive","male"
"302",2016-07-06,"ldc","3/6/16","captive","male"
"303",2016-07-06,"lds","4/15/16","captive","female"
"304",2016-07-06,"lsd","4/15/16","captive","female"
"305",2016-03-30,"cs",NA,"tole","female"
"306",2016-04-12,"cs",NA,"tole","female"
"307",2016-05-19,"cs",NA,"tole","female"
"308",2016-05-20,"cs",NA,"tole","female"
"309",2016-04-02,"rc",NA,"tole","female"
"310",2016-04-03,"rc",NA,"tole","female"
"311",2016-04-20,"rc",NA,"tole","female"
"312",2016-04-21,"rc",NA,"tole","female"
"313",2016-05-22,"rc",NA,"tole","female"
"314",2016-05-23,"rc",NA,"tole","female"
"315",2016-03-21,"r",NA,"tole","female"
"316",2016-03-22,"r",NA,"tole","female"
"317",2016-04-08,"r",NA,"tole","female"
"318",2016-04-09,"r",NA,"tole","female"
"319",2016-03-18,"scc",NA,"tole","female"
"320",2016-03-19,"scc",NA,"tole","female"
"321",2016-04-09,"scc",NA,"tole","female"
"322",2016-04-10,"scc",NA,"tole","female"
"323",2016-05-15,"scc",NA,"tole","female"
"324",2016-05-16,"scc",NA,"tole","female"
"325",2016-03-10,"sc",NA,"tole","female"
"326",2016-04-05,"sc",NA,"tole","female"
"327",2016-04-06,"sc",NA,"tole","female"
"328",2016-05-11,"sc",NA,"tole","female"
"329",2016-06-11,"sc",NA,"tole","female"
"330",2016-06-12,"sc",NA,"tole","female"
"331",2016-03-23,"scs",NA,"tole","female"
"332",2016-03-24,"scs",NA,"tole","female"
"333",2016-03-28,"sd",NA,"tole","female"
"334",2016-03-29,"sd",NA,"tole","female"
"335",2016-04-06,"sd",NA,"tole","female"
"336",2016-04-07,"sd",NA,"tole","female"
"337",2016-05-13,"sd",NA,"tole","female"
"338",2016-03-25,"s",NA,"tole","female"
"339",2016-03-26,"s",NA,"tole","female"
"340",2016-04-15,"s",NA,"tole","female"
"341",2016-04-16,"s",NA,"tole","female"
"342",2016-05-18,"s",NA,"tole","female"
"343",2016-05-19,"s",NA,"tole","female"
"344",2016-03-08,"ss",NA,"tole","female"
"345",2016-03-09,"ss",NA,"tole","female"
"346",2016-03-30,"ss",NA,"tole","female"
"347",2016-03-31,"ss",NA,"tole","female"
"348",2016-04-19,"ss",NA,"tole","female"
"349",2016-05-10,"ss",NA,"tole","female"
"350",2016-06-14,"sss","2/15/16","captive","female"
"351",2016-06-15,"sss","2/15/16","captive","female"
"352",2016-03-10,"ccs",NA,"tole","female"
"353",2016-03-11,"ccs",NA,"tole","female"
"354",2016-04-02,"csc",NA,"tole","female"
"355",2016-05-17,"csc",NA,"tole","female"
"356",2016-06-10,"csc",NA,"tole","female"
"357",2016-06-11,"csc",NA,"tole","female"
"358",2016-03-04,"falcon",NA,"tole","male"
"359",2016-03-05,"falcon",NA,"tole","male"
"360",2016-03-03,"hulk",NA,"tole","male"
"361",2016-03-04,"hulk",NA,"tole","male"
"362",2016-03-10,"spiderman",NA,"tole","male"
"363",2016-03-11,"spiderman",NA,"tole","male"
"364",2016-03-11,"war-machine",NA,"tole","male"
"365",2016-03-12,"war-machine",NA,"tole","male"
"366",2016-03-09,"captain-america",NA,"tole","male"
"367",2016-03-10,"captain-america",NA,"tole","male"
"368",2016-03-12,"ds",NA,"tole","female"
"369",2016-03-13,"ds",NA,"tole","female"
"370",2016-03-27,"jenna-bat",NA,"gamboa","male"
"371",2016-03-28,"jenna-bat",NA,"gamboa","male"
"372",2016-03-07,"green-arrow",NA,"tole","male"
"373",2016-03-08,"green-arrow",NA,"tole","male"
"374",2016-03-06,"black-panther",NA,"tole","male"
"375",2016-03-07,"black-panther",NA,"tole","male"
"376",2016-03-05,"daredevil",NA,"tole","male"
"377",2016-03-06,"daredevil",NA,"tole","male"
"378",2016-03-08,"iron-man",NA,"tole","male"
"379",2016-03-09,"iron-man",NA,"tole","male"
"380",2017-07-10,"ccs",NA,"tole","female"
"381",2017-07-13,"dcd",NA,"tole","female"
"382",2017-07-14,"ddd","12/15/16","captive","male"
"383",2017-09-03,"cat",NA,"las.pavas","female"
"384",2018-08-29,"cat",NA,"las.pavas","female"
"385",2017-08-14,"cs",NA,"tole","female"
"386",2017-08-15,"cs",NA,"tole","female"
"387",2017-08-16,"ivy",NA,"las.pavas","female"
"388",2017-08-17,"ivy",NA,"las.pavas","female"
"389",2017-08-22,"tes",NA,"las.pavas","female"
"390",2017-08-17,"son-of-ola","6/28/16","captive","male"
"391",2017-08-18,"son-of-ola","6/28/16","captive","male"
"392",2017-08-22,"dr","7/3/16","captive","female"
"393",2017-08-23,"dr","7/3/16","captive","female"
"394",2017-08-26,"lds","4/15/16","captive","female"
"395",2017-08-27,"lds","4/15/16","captive","female"
